// Command line: MsdnHelper.exe
// Project page: https://github.com/yallie/MsdnHelper
System.Data.Services.Internal.ExpandedWrapper`2,cc703516
System.Data.Services.Internal.ExpandedWrapper`3,cc716378
System.Data.Services.Internal.ExpandedWrapper`4,cc703564
System.Data.Services.Internal.ExpandedWrapper`5,cc716395
System.Data.Services.Internal.ExpandedWrapper`6,cc703531
System.Data.Services.Internal.ExpandedWrapper`7,cc716343
System.Data.Services.Internal.ExpandedWrapper`8,cc703549
System.Data.Services.Internal.ExpandedWrapper`9,cc716321
System.Data.Services.Internal.ExpandedWrapper`10,cc703533
System.Data.Services.Internal.ExpandedWrapper`11,cc703537
System.Data.Services.Internal.ExpandedWrapper`12,cc716312
System.Data.Services.Internal.ExpandedWrapper`13,cc716351
System.Data.SqlClient.SqlNotificationType,z0fkxc6y
System.Deployment.Application.DeploymentProgressState,ms137033
System.Device.Location.GeoPosition`1,ee792399
System.Device.Location.GeoPositionChangedEventArgs`1,ee808809
System.Device.Location.IGeoPositionWatcher`1,ee808802
System.Diagnostics.ThreadWaitReason,tkhtkxxy
System.Diagnostics.TraceOptions,a10k7w6c
System.Diagnostics.Eventing.Reader.EventLogIsolation,bb339918
System.Diagnostics.Eventing.Reader.EventLogMode,bb356532
System.Diagnostics.Eventing.Reader.EventLogType,bb349038
System.Diagnostics.Eventing.Reader.StandardEventOpcode,bb302779
System.Diagnostics.PerformanceData.CounterType,bb156214
System.DirectoryServices.PasswordEncodingMethod,665ay023
System.DirectoryServices.AccountManagement.IdentityType,bb356425
System.DirectoryServices.AccountManagement.MatchType,bb345145
System.DirectoryServices.AccountManagement.PrincipalSearchResult`1,bb343993
System.DirectoryServices.AccountManagement.PrincipalValueCollection`1,bb342401
System.DirectoryServices.ActiveDirectory.ActiveDirectoryTransportType,x36129zd
System.DirectoryServices.ActiveDirectory.NotificationStatus,99fh9wxx
System.DirectoryServices.ActiveDirectory.ReplicationSpan,tyah50bx
System.DirectoryServices.Protocols.ErrorResponseCategory,h06b28k0
System.DirectoryServices.Protocols.ReferralChasingOptions,ms141880
System.DirectoryServices.Protocols.SecurityMasks,8kye079s
System.Drawing.Drawing2D.DashCap,wk68eecs
System.Drawing.Drawing2D.FlushIntention,hbezte2x
System.Drawing.Drawing2D.PathPointType,3ch9cxht
System.Drawing.Drawing2D.PenAlignment,z62ath7a
System.Drawing.Drawing2D.SmoothingMode,z714w2y9
System.Drawing.Imaging.PaletteFlags,26zzc0t6
System.Drawing.Text.TextRenderingHint,ssazt6bs
System.EnterpriseServices.AuthenticationOption,141w34y1
System.EnterpriseServices.BindingOption,d9asdyef
System.Globalization.DateTimeStyles,91hfhz89
System.IdentityModel.TypedAsyncResult`1,hh192635
System.IdentityModel.Metadata.LocalizedEntryCollection`1,hh157596
System.IO.FileAccess,4z36sx0f
System.IO.SearchOption,ms143448
System.IO.SeekOrigin,883dhyx0
System.IO.WatcherChangeTypes,t6xf43e0
System.IO.Pipes.PipeAccessRights,bb348408
System.IO.Pipes.PipeDirection,bb344934
System.IO.Pipes.PipeOptions,bb355654
System.Linq.EnumerableExecutor`1,cc190101
System.Linq.EnumerableQuery`1,cc190116
System.Linq.IGrouping`2,bb344977
System.Linq.ILookup`2,bb534291
System.Linq.IOrderedEnumerable`1,bb534852
System.Linq.IOrderedQueryable`1,bb340178
System.Linq.IQueryable`1,bb351562
System.Linq.Lookup`2,bb460184
System.Linq.OrderedParallelQuery`1,dd413755
System.Linq.ParallelQuery`1,dd383736
System.Linq.Expressions.Expression`1,bb335710
System.Linq.Expressions.ExpressionType,bb361179
System.Management.CodeLanguage,57ykx9hb
System.Management.TextFormat,h1s735k3
System.Management.Instrumentation.ManagementQualifierFlavors,bb348843
System.Messaging.MessageLookupAction,21s8czba
System.Net.Configuration.ProxyElement.AutoDetectValues,ms223202
System.Net.Http.Headers.HttpHeaderValueCollection`1,hh138150
System.Net.Mail.MailPriority,ms223213
System.Net.NetworkInformation.NetworkInterfaceComponent,w8940s37
System.Net.PeerToPeer.PnrpScope,bb360976
System.Net.PeerToPeer.Collaboration.PeerChangeType,bb348225
System.Net.PeerToPeer.Collaboration.PeerInvitationResponseType,bb352817
System.Net.PeerToPeer.Collaboration.PeerScope,bb302133
System.Net.PeerToPeer.Collaboration.SubscriptionType,bb359397
System.Net.Security.SslPolicyErrors,ms145055
System.Net.Sockets.SelectMode,y9x13hh4
System.Reflection.EventAttributes,b0yd7a4a
System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1,hh138506
System.Runtime.CompilerServices.CallSite`1,dd402854
System.Runtime.CompilerServices.ConditionalWeakTable`2,dd287757
System.Runtime.CompilerServices.ConditionalWeakTable`2.CreateValueCallback,dd384251
System.Runtime.CompilerServices.ConfiguredTaskAwaitable`1,hh138549
System.Runtime.CompilerServices.ConfiguredTaskAwaitable`1.ConfiguredTaskAwaiter,hh138552
System.Runtime.CompilerServices.LoadHint,zb5wbefd
System.Runtime.CompilerServices.MethodCodeType,4k10sb5f
System.Runtime.CompilerServices.ReadOnlyCollectionBuilder`1,dd630335
System.Runtime.CompilerServices.RuleCache`1,ee378319
System.Runtime.CompilerServices.StrongBox`1,bb549038
System.Runtime.CompilerServices.TaskAwaiter`1,hh138386
System.Runtime.DurableInstancing.InstancePersistenceEvent`1,ee829441
System.Runtime.InteropServices.AssemblyRegistrationFlags,4kecf6fd
System.Runtime.InteropServices.CALLCONV,3ywy0hx4
System.Runtime.InteropServices.ComInterfaceType,tz0x1301
System.Runtime.InteropServices.DESCKIND,asdwfax5
System.Runtime.InteropServices.GCHandleType,83y4ak54
System.Runtime.InteropServices.TYPEFLAGS,f6964swx
System.Runtime.InteropServices.WindowsRuntime.EventRegistrationTokenTable`1,hh138412
System.Runtime.Remoting.Lifetime.LeaseState,d3386kty
System.Runtime.Versioning.ResourceScope,ms147554
System.Security.ManifestKinds,bb340409
System.Security.AccessControl.AccessControlActions,yf9ts165
System.Security.AccessControl.AccessControlType,w4ds5h86
System.Security.AccessControl.AccessRule`1,dd288493
System.Security.AccessControl.AuditRule`1,dd269681
System.Security.AccessControl.ObjectSecurity`1,dd269680
System.Security.Cryptography.CngKeyCreationOptions,bb347919
System.Security.Cryptography.CngKeyUsages,bb345526
System.Security.Cryptography.CngPropertyOptions,bb360938
System.Security.Cryptography.SignatureVerificationResult,bb461969
System.Security.Cryptography.Pkcs.RecipientInfoType,axf4s895
System.Security.Permissions.HostProtectionResource,zt5bfyda
System.Security.Permissions.UIPermissionClipboard,y173aaya
