// Command line: MsdnHelper.exe /a 
// Project page: https://github.com/yallie/MsdnHelper
System.Activities.Persistence.PersistenceParticipant,dd986731
System.Activities.Presentation.ActivityDesigner,ee408479
System.Activities.Presentation.ActivityDesignerOptionsAttribute,ee403964
System.Activities.Presentation.ArgumentAccessor,hh136046
System.Activities.Presentation.CachedResourceDictionaryExtension,ee407792
System.Activities.Presentation.ClipboardData,ee408423
System.Activities.Presentation.ContextItem,ee403969
System.Activities.Presentation.ContextItemManager,ee425889
System.Activities.Presentation.CutCopyPasteHelper,ee408432
System.Activities.Presentation.DefaultTypeArgumentAttribute,ee408382
System.Activities.Presentation.DesignerConfigurationService,gg570589
System.Activities.Presentation.DragDropHelper,ee403931
System.Activities.Presentation.DynamicArgumentDesignerOptions,ee473970
System.Activities.Presentation.DynamicArgumentDialog,ee473933
System.Activities.Presentation.EditingContext,ee403942
System.Activities.Presentation.IActivityTemplateFactory,ee425918
System.Activities.Presentation.IActivityTemplateFactory`1,hh136138
System.Activities.Presentation.IActivityToolboxService,ee425886
System.Activities.Presentation.ICompositeView,ee473891
System.Activities.Presentation.ICompositeViewEvents,ee474011
System.Activities.Presentation.IIntegratedHelpService,ee403951
System.Activities.Presentation.IModalService,ff406510
System.Activities.Presentation.IMultipleDragEnabledCompositeView,hh191987
System.Activities.Presentation.IWorkflowDesignerStorageService,ee725480
System.Activities.Presentation.IXamlLoadErrorService,ee706824
System.Activities.Presentation.ObjectReferenceService,hh192164
System.Activities.Presentation.PublishServiceCallback,ee408358
System.Activities.Presentation.PublishServiceCallback`1,ee408402
System.Activities.Presentation.ServiceManager,ee403972
System.Activities.Presentation.SourceLocationUpdatedEventArgs,hh192070
System.Activities.Presentation.SubscribeContextCallback,ee425931
System.Activities.Presentation.SubscribeContextCallback`1,ee408228
System.Activities.Presentation.SubscribeServiceCallback,ee403628
System.Activities.Presentation.SubscribeServiceCallback`1,ee425837
System.Activities.Presentation.TypeResolvingOptionsAttribute,ee407912
System.Activities.Presentation.UndoEngine,ee403891
System.Activities.Presentation.UndoUnit,ee425891
System.Activities.Presentation.UndoUnitEventArgs,ee403818
System.Activities.Presentation.WorkflowDesigner,ee403588
System.Activities.Presentation.WorkflowDesignerColors,ee408466
System.Activities.Presentation.WorkflowDesignerIcons,hh881541
System.Activities.Presentation.WorkflowDesignerIcons.Activities,hh881538
System.Activities.Presentation.WorkflowDesignerIcons.ContextMenuItems,hh881540
System.Activities.Presentation.WorkflowDesignerIcons.DesignerItems,hh881539
System.Activities.Presentation.WorkflowElementDialog,ee403541
System.Activities.Presentation.WorkflowFileItem,ee407943
System.Activities.Presentation.WorkflowItemPresenter,ee403792
System.Activities.Presentation.WorkflowItemsPresenter,ee403916
System.Activities.Presentation.WorkflowViewElement,ee407763
System.Activities.Presentation.XamlLoadErrorInfo,ee706820
System.Activities.Presentation.Annotations.Annotation,hh157246
System.Activities.Presentation.Converters.ArgumentToExpressionConverter,ee514608
System.Activities.Presentation.Converters.ArgumentToExpressionModelItemConverter,ee514616
System.Activities.Presentation.Converters.ModelPropertyEntryToModelItemConverter,ee514601
System.Activities.Presentation.Converters.ModelPropertyEntryToOwnerActivityConverter,ee514633
System.Activities.Presentation.Converters.ModelToObjectValueConverter,ee514623
System.Activities.Presentation.Converters.ObjectToModelValueConverter,ee514599
System.Activities.Presentation.Debug.BreakpointTypes,ee473704
System.Activities.Presentation.Debug.DebuggerService,ee403258
System.Activities.Presentation.Debug.IDesignerDebugView,ee403274
System.Activities.Presentation.Expressions.CreateExpressionFromStringCallback,hh551451
System.Activities.Presentation.Expressions.ExpressionActivityEditor,hh135717
System.Activities.Presentation.Expressions.ExpressionMorphHelper,hh135682
System.Activities.Presentation.Expressions.ExpressionMorphHelperAttribute,hh135703
System.Activities.Presentation.Expressions.TextualExpressionEditor,hh135707
System.Activities.Presentation.Hosting.AssemblyContextControlItem,ee473761
System.Activities.Presentation.Hosting.CommandInfo,ee473736
System.Activities.Presentation.Hosting.CommandValues,ee473762
System.Activities.Presentation.Hosting.ICommandService,ee473763
System.Activities.Presentation.Hosting.IDocumentPersistenceService,ee473753
System.Activities.Presentation.Hosting.ImportedNamespaceContextItem,ee473770
System.Activities.Presentation.Hosting.IMultiTargetingSupportService,ee403221
System.Activities.Presentation.Hosting.IWorkflowCommandExtensionCallback,ee473799
System.Activities.Presentation.Hosting.MultiTargetingSupportService,hh135535
System.Activities.Presentation.Hosting.ReadOnlyState,ee473748
System.Activities.Presentation.Hosting.WindowHelperService,ee473745
System.Activities.Presentation.Hosting.WindowMessage,ee473750
System.Activities.Presentation.Hosting.WorkflowCommandExtensionItem,ee473784
System.Activities.Presentation.Metadata.ActivityArgumentHelper,hh135750
System.Activities.Presentation.Metadata.AttributeCallback,ee403297
System.Activities.Presentation.Metadata.AttributeCallbackBuilder,ee403357
System.Activities.Presentation.Metadata.AttributeTable,ee403321
System.Activities.Presentation.Metadata.AttributeTableBuilder,ee403296
System.Activities.Presentation.Metadata.AttributeTableValidationException,ee403354
System.Activities.Presentation.Metadata.IRegisterMetadata,ee403344
System.Activities.Presentation.Metadata.MetadataStore,ee403346
